date,nav,accum_nav,daily_growth,purchase_status,redeem_status
2017-06-23,1.0001,1.0001,,封闭期,封闭期
2017-06-30,1.0001,1.0001,,封闭期,封闭期
2017-07-07,1.0006,1.0006,,封闭期,封闭期
2017-07-10,1.0008,1.0008,0.02%,封闭期,封闭期
2017-07-11,1.0009,1.0009,0.01%,封闭期,封闭期
2017-07-12,1.0008,1.0008,-0.01%,封闭期,封闭期
2017-07-13,1.0008,1.0008,0.00%,封闭期,封闭期
2017-07-14,1.0008,1.0008,0.00%,限制大额申购,开放赎回
2017-07-17,1.0014,1.0014,0.06%,限制大额申购,开放赎回
2017-07-18,1.0019,1.0019,0.05%,限制大额申购,开放赎回
2017-07-19,1.0020,1.0020,0.01%,限制大额申购,开放赎回
2017-07-20,1.0008,1.0008,-0.12%,限制大额申购,开放赎回
2017-07-21,1.0007,1.0007,-0.01%,限制大额申购,开放赎回
2017-07-24,1.0017,1.0017,0.10%,限制大额申购,开放赎回
2017-07-25,1.0015,1.0015,-0.02%,限制大额申购,开放赎回
2017-07-26,1.0028,1.0028,0.13%,限制大额申购,开放赎回
2017-07-27,0.9998,0.9998,-0.30%,限制大额申购,开放赎回
2017-07-28,0.9994,0.9994,-0.04%,限制大额申购,开放赎回
2017-07-31,0.9968,0.9968,-0.26%,限制大额申购,开放赎回
2017-08-01,0.9970,0.9970,0.02%,限制大额申购,开放赎回
2017-08-02,0.9987,0.9987,0.17%,限制大额申购,开放赎回
2017-08-03,0.9972,0.9972,-0.15%,限制大额申购,开放赎回
2017-08-04,0.9972,0.9972,0.00%,限制大额申购,开放赎回
2017-08-07,1.0002,1.0002,0.30%,限制大额申购,开放赎回
2017-08-08,0.9994,0.9994,-0.08%,限制大额申购,开放赎回
2017-08-09,0.9980,0.9980,-0.14%,限制大额申购,开放赎回
2017-08-10,0.9833,0.9833,-1.47%,限制大额申购,开放赎回
2017-08-11,0.9863,0.9863,0.31%,限制大额申购,开放赎回
2017-08-14,0.9933,0.9933,0.71%,限制大额申购,开放赎回
2017-08-15,0.9944,0.9944,0.11%,限制大额申购,开放赎回
2017-08-16,0.9962,0.9962,0.18%,限制大额申购,开放赎回
2017-08-17,0.9838,0.9838,-1.24%,限制大额申购,开放赎回
2017-08-18,0.9836,0.9836,-0.02%,限制大额申购,开放赎回
2017-08-21,0.9827,0.9827,-0.09%,限制大额申购,开放赎回
2017-08-22,0.9901,0.9901,0.75%,限制大额申购,开放赎回
2017-08-23,0.9883,0.9883,-0.18%,限制大额申购,开放赎回
2017-08-24,0.9856,0.9856,-0.27%,限制大额申购,开放赎回
2017-08-25,0.9849,0.9849,-0.07%,限制大额申购,开放赎回
2017-08-28,0.9843,0.9843,-0.06%,限制大额申购,开放赎回
2017-08-29,0.9861,0.9861,0.18%,限制大额申购,开放赎回
2017-08-30,0.9912,0.9912,0.52%,限制大额申购,开放赎回
2017-08-31,0.9956,0.9956,0.44%,限制大额申购,开放赎回
2017-09-01,0.9945,0.9945,-0.11%,限制大额申购,开放赎回
2017-09-05,0.9833,0.9833,,限制大额申购,开放赎回
2017-09-06,0.9843,0.9843,0.10%,限制大额申购,开放赎回
2017-09-07,0.9855,0.9855,0.12%,限制大额申购,开放赎回
2017-09-08,0.9764,0.9764,-0.92%,限制大额申购,开放赎回
2017-09-11,0.9845,0.9845,0.83%,限制大额申购,开放赎回
2017-09-12,0.9901,0.9901,0.57%,限制大额申购,开放赎回
2017-09-13,0.9925,0.9925,0.24%,限制大额申购,开放赎回
2017-09-14,0.9888,0.9888,-0.37%,限制大额申购,开放赎回
2017-09-15,0.9907,0.9907,0.19%,限制大额申购,开放赎回
