date,ndx,vxn,vix,ndxe,sox,cnn_fear_greed,spx,ndxe_ndx,sox_ndx
2000-01-03,3790.55,,24.21,,,,,,
2000-01-04,3546.2,,27.01,,,,,,
2000-01-05,3507.31,,26.41,,,,,,
2000-01-06,3340.81,,25.73,,,,,,
2000-01-07,3529.6,,21.72,,,,,,
2000-01-10,3717.41,,21.71,,,,,,
2000-01-11,3544.35,,22.5,,,,,,
2000-01-12,3478.14,,22.84,,,,,,
2000-01-13,3612.08,,21.71,,,,,,
2000-01-14,3704.74,,19.66,,,,,,
2000-01-17,,,,,,,,,
2000-01-18,3757.78,,21.5,,,,,,
2000-01-19,3790.89,,21.72,,,,,,
2000-01-20,3841.74,,21.75,,,,,,
2000-01-21,3849.96,,20.82,,,,,,
2000-01-24,3660.96,,24.07,,,,,,
2000-01-25,3759.11,,23.02,,,,,,
2000-01-26,3621.21,,23.03,,,,,,
2000-01-27,3593.15,,23.54,,,,,,
2000-01-28,3446.13,,26.14,,,,,,
2000-01-31,3570.05,,24.95,,,,,,
2000-02-01,3701.78,,23.45,,,,,,
2000-02-02,3724.46,,23.12,,,,,,
2000-02-03,3851.16,,22.01,,,,,,
2000-02-04,3874.37,,21.54,,,,,,
2000-02-07,3933.34,,22.79,,,,,,
2000-02-08,4062.77,,21.25,,,,,,
2000-02-09,3968.46,,22.9,,,,,,
2000-02-10,4090,,23.07,,,,,,
2000-02-11,3968.89,,24.42,,,,,,
2000-02-14,3986.13,,24.38,,,,,,
2000-02-15,3997.03,,22.92,,,,,,
2000-02-16,3997.97,,23.51,,,,,,
2000-02-17,4125.38,,23.17,,,,,,
2000-02-18,3965.75,,26,,,,,,
2000-02-21,,,,,,,,,
2000-02-22,3969.13,,25.86,,,,,,
2000-02-23,4170.09,,23.89,,,,,,
2000-02-24,4253.05,,24.38,,,,,,
2000-02-25,4178.58,,25.2,,,,,,
2000-02-28,4162.13,,24.68,,,,,,
2000-02-29,4266.94,,23.37,,,,,,
2000-03-01,4309.01,,21.64,,,,,,
2000-03-02,4234.26,,21.06,,,,,,
2000-03-03,4442.87,,19.21,,,,,,
2000-03-06,4457.18,,21.5,,,,,,
2000-03-07,4390.83,,24.31,,,,,,
2000-03-08,4445.68,,23.82,,,,,,
2000-03-09,4586.26,,22.21,,,,,,
2000-03-10,4587.16,,21.24,,,,,,
2000-03-13,4426.8,,22.85,,,,,,
2000-03-14,4226.99,,24.41,,,,,,
2000-03-15,4130.01,,22.34,,,,,,
2000-03-16,4353.33,,20.77,,,,,,
2000-03-17,4440.45,,22.37,,,,,,
2000-03-20,4261.15,,22.96,,,,,,
2000-03-21,4449.33,,21.7,,,,,,
2000-03-22,4596.81,,21.49,,,,,,
2000-03-23,4660.62,,22.26,,,,,,
2000-03-24,4691.61,,23.31,,,,,,
2000-03-27,4704.73,,24.53,,,,,,
2000-03-28,4583.39,,24.86,,,,,,
2000-03-29,4413.92,,24.1,,,,,,
2000-03-30,4250.19,,25.47,,,,,,
2000-03-31,4397.84,,24.11,,,,,,
2000-04-03,4077.02,,24.03,,,,,,
2000-04-04,4034.17,,27.12,,,,,,
2000-04-05,4030.26,,28.41,,,,,,
2000-04-06,4086.73,,27.15,,,,,,
2000-04-07,4291.53,,24.39,,,,,,
2000-04-10,3998.26,,25.99,,,,,,
2000-04-11,3909.21,,27.25,,,,,,
2000-04-12,3633.63,,28.98,,,,,,
2000-04-13,3553.81,,29.4,,,,,,
2000-04-14,3207.96,,33.49,,,,,,
2000-04-17,3529.45,,28.95,,,,,,
2000-04-18,3715.81,,26.12,,,,,,
2000-04-19,3583.07,,27.02,,,,,,
2000-04-20,3505.29,,25.85,,,,,,
2000-04-21,,,,,,,,,
2000-04-24,3353.53,,27.37,,,,,,
2000-04-25,3621.56,,25.24,,,,,,
2000-04-26,3505.71,,26.97,,,,,,
2000-04-27,3692.57,,26.19,,,,,,
2000-04-28,3773.18,,26.2,,,,,,
2000-05-01,3829.84,,25.88,,,,,,
2000-05-02,3627.31,,28.5,,,,,,
2000-05-03,3562.16,,31.63,,,,,,
2000-05-04,3570.73,,30.77,,,,,,
2000-05-05,3688.36,,27.53,,,,,,
2000-05-08,3521.6,,28.2,,,,,,
2000-05-09,3445.26,,28.93,,,,,,
2000-05-10,3244.73,,29.87,,,,,,
2000-05-11,3381.57,,27.76,,,,,,
2000-05-12,3406.25,,26.05,,,,,,
2000-05-15,3512.11,,24.86,,,,,,
2000-05-16,3646.89,,24.34,,,,,,
2000-05-17,3550.5,,23.98,,,,,,
2000-05-18,3426.35,,23.96,,,,,,
2000-05-19,3260.64,,25.44,,,,,,
2000-05-22,3264.71,,26,,,,,,
2000-05-23,3023.42,,25.87,,,,,,
2000-05-24,3180.31,,24.32,,,,,,
2000-05-25,3099.28,,24.58,,,,,,
2000-05-26,3101.44,,24.47,,,,,,
2000-05-29,,,,,,,,,
2000-05-30,3414.03,,23.62,,,,,,
2000-05-31,3324.08,,23.65,,,,,,
2000-06-01,3518.98,,22.36,,,,,,
2000-06-02,3755.67,,21.48,,,,,,
2000-06-05,3730.31,,22.71,,,,,,
2000-06-06,3646.32,,23.05,,,,,,
2000-06-07,3736.01,,22.48,,,,,,
2000-06-08,3707.31,,22.77,,,,,,
2000-06-09,3760.26,,22.14,,,,,,
2000-06-12,3638.42,,22.32,,,,,,
2000-06-13,3765.81,,21.67,,,,,,
2000-06-14,3677.49,,21.48,,,,,,
2000-06-15,3752.01,,20.68,,,,,,
2000-06-16,3787.36,,20.5,,,,,,
2000-06-19,3933.7,,20.63,,,,,,
2000-06-20,3933.83,,20.88,,,,,,
2000-06-21,3970,,20.61,,,,,,
2000-06-22,3804.11,,22,,,,,,
2000-06-23,3685.3,,22.34,,,,,,
2000-06-26,3771.45,,22.45,,,,,,
2000-06-27,3699,,21.8,,,,,,
2000-06-28,3771.06,,20.29,,,,,,
2000-06-29,3665.83,,19.7,,,,,,
2000-06-30,3763.79,,19.54,,,,,,
2000-07-03,3804.78,,19.83,,,,,,
2000-07-04,,,,,,,,,
2000-07-05,3649.8,,21.16,,,,,,
2000-07-06,3793.48,,20.94,,,,,,
2000-07-07,3841.27,,19.22,,,,,,
2000-07-10,3772.2,,20.33,,,,,,
2000-07-11,3744.53,,20.11,,,,,,
2000-07-12,3901.12,,20.03,,,,,,
2000-07-13,3956.67,,20.03,,,,,,
2000-07-14,4041.15,,19.32,,,,,,
2000-07-17,4061.88,,19.45,,,,,,
