date,pe_ratio
1990-05-01,24.2719
1990-06-01,24.2719
1990-07-01,30.0
1990-08-01,24.8499
1990-09-01,21.4274
1990-10-01,19.0165
1990-11-01,19.0165
1990-12-01,16.2315
1991-01-01,16.2315
1991-02-01,16.2315
1991-03-01,21.4023
1991-04-01,21.4023
1991-05-01,21.7086
1991-06-01,21.7086
1991-07-01,20.4608
1991-08-01,20.4608
1991-09-01,20.4608
1991-10-01,20.0906
1991-11-01,20.0906
1991-12-01,21.7203
1992-01-01,21.7203
1992-02-01,24.1691
1992-03-01,25.9383
1992-04-01,29.4639
1992-05-01,29.4639
1992-06-01,29.4639
1992-07-01,29.7515
1992-08-01,29.7515
1992-09-01,29.9688
1992-10-01,28.0472
1992-11-01,28.0472
1992-12-01,31.5303
1993-01-01,31.5303
1993-02-01,30.2232
1993-03-01,30.2232
1993-04-01,25.5777
1993-05-01,25.5777
1993-06-01,25.5777
1993-07-01,25.0222
1993-08-01,24.2247
1993-09-01,24.2247
1993-10-01,24.2247
1993-11-01,25.8637
1993-12-01,25.8637
1994-01-01,26.4815
1994-02-01,26.4815
1994-03-01,21.1735
1994-04-01,21.1735
1994-05-01,18.8444
1994-06-01,18.8444
1994-07-01,18.8444
1994-08-01,17.5982
1994-09-01,17.5982
1994-10-01,17.4384
1994-11-01,17.4384
1994-12-01,17.4384
1995-01-01,17.481
1995-02-01,17.481
1995-03-01,17.481
1995-04-01,20.7191
1995-05-01,20.7191
1995-06-01,20.7191
1995-07-01,23.056
1995-08-01,23.056
1995-09-01,24.2328
1995-10-01,24.2328
1995-11-01,22.7162
1995-12-01,22.7162
1996-01-01,22.7162
1996-02-01,21.7984
1996-03-01,21.7984
1996-04-01,21.7984
1996-05-01,22.86
1996-06-01,22.86
1996-07-01,23.7228
1996-08-01,23.7228
1996-09-01,25.3524
1996-10-01,25.3524
1996-11-01,28.1839
1996-12-01,30.5747
1997-01-01,30.5747
1997-02-01,30.5747
1997-03-01,33.5174
1997-04-01,33.5174
1997-05-01,33.4002
1997-06-01,36.0815
1997-07-01,36.0815
1997-08-01,35.9989
1997-09-01,35.9989
1997-10-01,35.9989
1997-11-01,32.851
1997-12-01,30.6509
1998-01-01,32.2652
1998-02-01,32.2652
1998-03-01,35.1441
1998-04-01,35.1441
1998-05-01,34.9366
1998-06-01,34.9366
1998-07-01,34.9366
1998-08-01,40.1973
1998-09-01,36.5652
1998-10-01,40.9355
1998-11-01,44.3333
1998-12-01,46.7156
1999-01-01,46.7156
1999-02-01,56.3232
1999-03-01,56.3232
1999-04-01,51.8319
1999-05-01,54.2924
1999-06-01,46.4657
1999-07-01,46.4657
1999-08-01,54.058
1999-09-01,54.058
1999-10-01,47.7311
1999-11-01,55.0832
1999-12-01,57.7195
2000-01-01,60.5314
2000-02-01,66.751
2000-03-01,71.8672
2000-04-01,64.8959
2000-05-01,54.2533
2000-06-01,59.2953
2000-07-01,63.6656
2000-08-01,57.1499
2000-09-01,49.4593
2000-10-01,46.0908
2000-11-01,42.9486
2000-12-01,40.3028
2001-01-01,34.5454
2001-02-01,34.5454
2001-03-01,34.5454
2001-04-01,26.7975
2001-05-01,26.7975
2001-06-01,34.9834
2001-07-01,38.0398
2001-08-01,44.2161
2001-09-01,37.3619
2001-10-01,45.1534
2001-11-01,55.6983
2001-12-01,64.5561
2002-01-01,69.8221
2002-02-01,64.6029
2002-03-01,78.1942
2002-04-01,79.811
2002-05-01,73.9762
2002-06-01,52.2302
2002-07-01,49.2542
2002-08-01,41.1636
2002-09-01,38.5085
2002-10-01,38.5085
2002-11-01,38.8265
2002-12-01,45.5951
2003-01-01,45.5951
2003-02-01,40.6816
2003-03-01,40.6816
2003-04-01,46.2665
2003-05-01,50.1703
2003-06-01,50.1703
2003-07-01,52.0955
2003-08-01,54.4947
2003-09-01,54.4947
2003-10-01,49.1078
2003-11-01,49.1078
2003-12-01,44.5285
2004-01-01,42.2968
2004-02-01,39.2073
2004-03-01,37.069
2004-04-01,34.5695
2004-05-01,34.5695
2004-06-01,34.5695
2004-07-01,33.8665
2004-08-01,30.9881
2004-09-01,30.9881
2004-10-01,30.9881
2004-11-01,30.9444
2004-12-01,30.9444
2005-01-01,30.0586
2005-02-01,30.0586
2005-03-01,27.5786
2005-04-01,27.5786
2005-05-01,27.5786
2005-06-01,26.6093
2005-07-01,26.6093
2005-08-01,26.6093
2005-09-01,26.6093
2005-10-01,26.6093
2005-11-01,26.5986
2005-12-01,24.9986
2006-01-01,23.9
2006-02-01,23.34
2006-03-01,23.31
2006-04-01,23.27
2006-05-01,21.61
2006-06-01,23.7
2006-07-01,22.71
2006-08-01,23.77
2006-09-01,24.88
2006-10-01,23.53
2006-11-01,24.33
2006-12-01,23.86
2007-01-01,26.79
2007-02-01,26.34
2007-03-01,26.5
2007-04-01,24.98
2007-05-01,25.79
2007-06-01,25.87
2007-07-01,23.28
2007-08-01,23.96
2007-09-01,25.2
2007-10-01,26.69
2007-11-01,24.91
2007-12-01,24.39
2008-01-01,21.54
2008-02-01,20.42
2008-03-01,20.48
2008-04-01,22.04
2008-05-01,23.36
2008-06-01,21.16
2008-07-01,21.3
2008-08-01,21.57
2008-09-01,19.13
2008-10-01,16.01
2008-11-01,14.22
2008-12-01,18.48
2009-01-01,18.0
2009-02-01,17.03
2009-03-01,21.16
2009-04-01,23.85
2009-05-01,24.56
2009-06-01,29.59
2009-07-01,32.11
2009-08-01,32.55
2009-09-01,32.63
2009-10-01,31.65
2009-11-01,33.55
2009-12-01,18.64
2010-01-01,17.45
2010-02-01,18.23
2010-03-01,16.29
2010-04-01,16.64
2010-05-01,15.41
2010-06-01,13.35
2010-07-01,14.31
2010-08-01,13.57
2010-09-01,12.78
2010-10-01,13.59
2010-11-01,13.55
2010-12-01,13.31
2011-01-01,13.7
2011-02-01,14.11
2011-03-01,13.8
2011-04-01,14.19
2011-05-01,14.0
2011-06-01,13.17
2011-07-01,13.38
2011-08-01,12.69
2011-09-01,11.92
2011-10-01,13.15
2011-11-01,12.79
2011-12-01,12.69
2012-01-01,13.18
2012-02-01,14.01
2012-03-01,14.71
2012-04-01,13.6
2012-05-01,12.61
2012-06-01,13.06
2012-07-01,13.62
2012-08-01,14.28
2012-09-01,14.42
2012-10-01,14.44
2012-11-01,14.61
2012-12-01,14.18
2013-01-01,14.56
2013-02-01,14.6
2013-03-01,15.02
2013-04-01,14.99
2013-05-01,15.48
2013-06-01,15.11
2013-07-01,15.64
2013-08-01,15.56
2013-09-01,13.9
2013-10-01,14.59
2013-11-01,15.06
2013-12-01,15.55
2014-01-01,15.24
2014-02-01,16.0
2014-03-01,12.38
2014-04-01,12.33
2014-05-01,12.86
2014-06-01,12.29
2014-07-01,12.43
2014-08-01,13.04
2014-09-01,13.66
2014-10-01,14.02
2014-11-01,14.63
2014-12-01,13.08
2015-01-01,12.81
2015-02-01,13.71
2015-03-01,17.41
2015-04-01,17.74
2015-05-01,18.11
2015-06-01,18.19
2015-07-01,18.99
2015-08-01,17.68
2015-09-01,18.02
2015-10-01,20.04
2015-11-01,20.11
2015-12-01,20.94
2016-01-01,19.51
2016-02-01,19.15
2016-03-01,20.4
2016-04-01,19.76
2016-05-01,20.59
2016-06-01,19.51
2016-07-01,20.89
2016-08-01,21.07
2016-09-01,22.44
2016-10-01,22.1
2016-11-01,22.15
2016-12-01,22.39
2017-01-01,21.87
2017-02-01,22.78
2017-03-01,21.99
2017-04-01,22.59
2017-05-01,23.42
2017-06-01,22.24
2017-07-01,23.16
2017-08-01,23.58
2017-09-01,23.55
2017-10-01,22.26
2017-11-01,22.68
2017-12-01,22.79
2018-01-01,26.54
2018-02-01,26.17
2018-03-01,25.13
2018-04-01,23.75
2018-05-01,25.06
2018-06-01,25.32
2018-07-01,23.86
2018-08-01,25.25
2018-09-01,25.17
2018-10-01,21.66
2018-11-01,21.61
2018-12-01,17.5
2019-01-01,19.1
2019-02-01,19.62
2019-03-01,20.4
2019-04-01,21.46
2019-05-01,19.66
2019-06-01,21.16
2019-07-01,21.69
2019-08-01,21.25
2019-09-01,21.55
2019-10-01,22.48
2019-11-01,23.37
2019-12-01,22.89
2020-01-01,23.57
2020-02-01,22.18
2020-03-01,21.03
2020-04-01,24.22
2020-05-01,25.71
2020-06-01,27.85
2020-07-01,29.9
2020-08-01,33.2
2020-09-01,31.56
2020-10-01,30.55
2020-11-01,33.91
2020-12-01,32.9
2021-01-01,33.0
2021-02-01,32.96
2021-03-01,29.68
2021-04-01,31.42
2021-05-01,31.03
2021-06-01,28.09
2021-07-01,28.87
2021-08-01,30.07
2021-09-01,27.03
2021-10-01,29.16
2021-11-01,29.69
2021-12-01,28.76
2022-01-01,26.31
2022-02-01,25.09
2022-03-01,26.53
2022-04-01,22.98
2022-05-01,22.6
2022-06-01,22.09
2022-07-01,24.86
2022-08-01,23.56
2022-09-01,22.25
2022-10-01,23.14
2022-11-01,24.4
2022-12-01,22.19
2023-01-01,26.31
2023-02-01,26.18
2023-03-01,28.55
2023-04-01,28.69
2023-05-01,30.87
2023-06-01,30.26
2023-07-01,31.41
2023-08-01,30.9
2023-09-01,29.33
2023-10-01,27.44
2023-11-01,30.36
2023-12-01,32.04
2024-01-01,28.25
2024-02-01,29.74
2024-03-01,30.09
2024-04-01,29.85
2024-05-01,31.73
2024-06-01,33.69
2024-07-01,32.66
2024-08-01,33.02
2024-09-01,35.02
2024-10-01,34.72
2024-11-01,36.54
2024-12-01,34.94
2025-01-01,35.71
2025-02-01,34.72
2025-03-01,31.8505
2025-04-01,33.9501
2025-05-01,31.7447
2025-06-01,33.734
2025-07-01,34.5516
2025-08-01,32.8411
2025-09-01,32.6405
2025-10-01,35.3029
2025-11-01,34.8858
2025-12-01,33.6218
2026-01-01,33.2849
2026-02-01,33.3465
2026-03-01,32.4258
2026-04-01,31.9623
2026-05-01,32.2691
