date,market_regime,temperature_score,undervaluation_score,overheat_score,trend_score,volatility_score,sentiment_score,breadth_score,semiconductor_score,top_risk_score,recovery_score,confidence_score,dashboard_action,missing_inputs,ndx,sma,dist_sma,vxn,vix,vxn_pctile,vix_pctile,cnn_fear_greed,cnn_ma5,ndxe_ndx,ndxe_ma,sox_ndx,sox_ma
2000-01-03,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3790.55,,,,24.21,,,,,,,,
2000-01-04,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3546.2,,,,27.01,,,,,,,,
2000-01-05,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3507.31,,,,26.41,,,,,,,,
2000-01-06,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3340.81,,,,25.73,,,,,,,,
2000-01-07,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3529.6,,,,21.72,,,,,,,,
2000-01-10,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3717.41,,,,21.71,,,,,,,,
2000-01-11,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3544.35,,,,22.5,,,,,,,,
2000-01-12,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3478.14,,,,22.84,,,,,,,,
2000-01-13,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3612.08,,,,21.71,,,,,,,,
2000-01-14,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3704.74,,,,19.66,,,,,,,,
2000-01-17,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndx,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix,vix_pctile,vxn,vxn_pctile",,,,,,,,,,,,,
2000-01-18,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3757.78,,,,21.5,,,,,,,,
2000-01-19,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3790.89,,,,21.72,,,,,,,,
2000-01-20,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3841.74,,,,21.75,,,,,,,,
2000-01-21,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3849.96,,,,20.82,,,,,,,,
2000-01-24,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3660.96,,,,24.07,,,,,,,,
2000-01-25,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3759.11,,,,23.02,,,,,,,,
2000-01-26,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3621.21,,,,23.03,,,,,,,,
2000-01-27,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3593.15,,,,23.54,,,,,,,,
2000-01-28,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3446.13,,,,26.14,,,,,,,,
2000-01-31,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3570.05,,,,24.95,,,,,,,,
2000-02-01,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3701.78,,,,23.45,,,,,,,,
2000-02-02,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3724.46,,,,23.12,,,,,,,,
2000-02-03,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3851.16,,,,22.01,,,,,,,,
2000-02-04,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3874.37,,,,21.54,,,,,,,,
2000-02-07,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",3933.34,,,,22.79,,,,,,,,
2000-02-08,unscorable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unavailable,"cnn_fear_greed,cnn_ma5,dist_sma,ndxe_ma,ndxe_ndx,sma,sox_ma,sox_ndx,vix_pctile,vxn,vxn_pctile",4062.77,,,,21.25,,,,,,,,
