date,market_regime,temperature_score,undervaluation_score,overheat_score,trend_score,volatility_score,sentiment_score,breadth_score,semiconductor_score,top_risk_score,recovery_score,confidence_score,dashboard_action,missing_inputs,ndx,sma,dist_sma,vxn,vix,vxn_pctile,vix_pctile,cnn_fear_greed,cnn_ma5,ndxe_ndx,ndxe_ma,sox_ndx,sox_ma,previous_market_regime,fwd_1m,fwd_3m,fwd_6m,fwd_12m,fwd_12m_mdd,requested_date,matched_date
2011-08-08,panic_low,8.049563681678158,93.22319181849298,0.0,23.310106720030294,94.81907894736842,1.0,25.737819687672147,14.971726163299069,49.26218031232786,0.0,87.09800025585626,add_strong,,2060.29,2306.5346551724137,-0.1067595731198788,44.74,48.0,0.9342105263157896,0.9481907894736842,1.0,4.2,0.6093511108,0.6404274429979592,0.1608171665,0.1729321993693877,panic_low,0.07933834557271058,0.14368365618432377,0.22898232773056226,0.31882404904163963,-0.11693279031180648,2011-08-08,2011-08-08
2015-08-24,panic_low,10.270582630651193,88.28759415410846,0.0,29.286811150586026,99.67078189300412,3.0,49.60667850676088,28.305345520188887,22.08797597305023,0.0,90.31182217473877,add_strong,,4038.6,4403.436878612717,-0.0828527553976559,42.95,40.74,0.9967078189300412,0.9909465020576133,3.0,9.0,0.5921408409,0.5926070110489795,0.14029119,0.1466544241183673,panic_low,0.05817114841776849,0.16039221512405288,0.04012776704798693,0.19310652206210066,-0.16343331814666084,2015-08-24,2015-08-24
2018-12-24,panic_low,5.0,100.0,0.0,7.61049938487028,99.91789819376024,2.0,59.66563496563333,63.92265341787946,0.0,21.22945954516151,95.75410809096768,add_strong,,5899.35,7103.8676000000005,-0.1695580024605189,38.68,36.07,0.9991789819376026,0.9983579638752051,2.0,5.2,0.5257782637,0.515807058225,0.1812725131,0.17636166833125,panic_low,0.15052844804936139,0.23881275055726459,0.28684346580555475,0.4740623967047217,-0.11059646457372341,2018-12-24,2018-12-24
2020-02-19,warm,67.17679616083535,8.194444444444438,41.728592321670696,96.36510257963413,65.92592592592592,53.0,41.70579223463184,40.214504433618025,49.37614757300315,44.24340171975608,68.3705860639002,reduce_light,,9718.73,8198.274624277457,0.1854604103185364,18.58,14.38,0.6592592592592592,0.5465020576131687,53.0,54.25,0.4980187741,0.5064194707130435,0.2036788757,0.2077446442913043,warm,-0.2500542766390258,-0.04323507289532669,0.17289296029419488,0.4032193506764774,-0.28032880839368923,2020-02-19,2020-02-19
2020-03-16,panic_low,5.0,100.0,0.0,11.973365419955208,100.0,3.0,37.36088564542496,7.112140347133213,37.63911435457504,0.0,92.472177129085,add_strong,,7020.38,8279.790229885057,-0.1521065383201791,80.08,82.69,1.0,1.0,3.0,4.0,0.487804079,0.5004546870375001,0.1850013817,0.20235885833125,panic_low,0.22385967711149535,0.39264398793227717,0.6064315606847492,0.87344274811335,-0.1277891299412104,2020-03-16,2020-03-16
2021-11-19,warm_recovery,64.21040875569918,4.439655172413792,32.41650716657077,84.11357939142783,60.91954022988506,62.0,34.14858586702497,77.2160370461524,40.163794507903106,60.57015293582238,74.22380991953945,normal_dca,,16573.34,14583.375454545456,0.1364543175657113,21.75,17.91,0.5988515176374077,0.6091954022988506,62.0,68.8,0.4398503862,0.4542514416439999,0.2360429461,0.223857896492,recovery,-0.035421948744187914,-0.16308179280700208,-0.2738772027847133,-0.30288945981920357,-0.3549519891584919,2021-11-19,2021-11-19
2022-01-03,warm,63.064068726879896,0.0,26.128137453759795,74.26935907560612,54.14273995077933,65.0,42.84653380491733,68.82229101963307,26.749569285402515,50.05296796807384,72.17392172855273,reduce_light,,16501.77,15041.572685714284,0.0970774363024244,21.17,16.6,0.5414273995077933,0.5135579293344289,65.0,63.2,0.4355847888,0.4419071241479166,0.2440477597,0.2351939806020833,warm,-0.08253841860600408,-0.08133612333707241,-0.28173826201674124,-0.33856792331974095,-0.3528366956999158,2022-01-03,2022-01-03
2022-10-14,stress_low,7.53660615530913,94.36309743264636,0.0,8.2481963281313,94.2481511914544,16.0,55.58192627860243,17.477377556200445,25.0,5.023733650742191,92.46339384469088,add_light,,10692.06,12835.717413793103,-0.1670072146874748,37.75,32.02,0.942481511914544,0.9245283018867924,16.0,17.0,0.4630538923,0.4579415009040817,0.2022360518,0.216305709655102,stress_low,0.09435786929740386,0.08091331324365947,0.22444037912245185,0.4143214684541614,-0.1131508426002894,2022-10-14,2022-10-14
2024-07-10,warm_recovery,78.80881225289035,0.0,57.6176245057807,92.4311207002066,92.20146222583266,54.0,24.629182607086197,67.62358928357489,68.21321837933553,63.481977488688464,72.9995527729633,normal_dca,,20675.38,17675.427251461984,0.1697244828008264,17.28,12.85,0.1167763157894736,0.0779853777416734,54.0,51.0,0.3702089151,0.3899980539191489,0.2855831428,0.2758598610191489,recovery,-0.10938420478849731,-0.02745294161461609,0.02445323858618309,0.10545150802548742,-0.2293151030862749,2024-07-10,2024-07-10
2026-04-30,warm_recovery,63.45669721606423,0.0,26.91339443212845,74.18948587696812,59.95165189363416,66.0,38.251144817271665,100.0,31.93390100682467,92.4799134436299,90.22918084826853,normal_dca,,27452.12,25030.244971098266,0.0967579435078724,21.79,16.89,0.4896949711459192,0.4004834810636583,66.0,65.6,0.3373258604,0.3454429794795918,0.3826189016,0.3361415399693877,recovery,,,,,,2026-04-30,2026-04-30
