config_id,sma_period,sentiment_lookback_days,repair_ma_days,rolling_high_days,panic_low_threshold,stress_low_threshold,recovery_threshold,warm_threshold,overheat_threshold,top_risk_threshold,top_risk_watch_threshold,recovery_temperature_ceiling,recovery_top_risk_ceiling,recovery_overheat_ceiling,recovery_dist_sma_ceiling,low_confidence_threshold,low_zone_quality,top_warning_quality,state_stability,extreme_date_accuracy,state_balance,latest_target_penalty,robust_score,changed_param_count,param_distance_from_current
stress60_rec60_warm65_over75_watch70_top75_rectemp60_rectop55_recover50_recdist0p06,180,1260,50,252,75.0,60.0,60.0,65.0,75.0,75.0,70.0,60.0,55.0,50.0,0.06,45.0,34.49732202463221,20.86320400499659,21.22658227848101,30.0,10.0,0.0,116.5871083081098,6,25.02
stress60_rec60_warm65_over75_watch70_top75_rectemp60_rectop50_recover50_recdist0p06,180,1260,50,252,75.0,60.0,60.0,65.0,75.0,75.0,70.0,60.0,50.0,50.0,0.06,45.0,34.49732202463221,20.86320400499659,21.22658227848101,30.0,10.0,0.0,116.5871083081098,7,30.02
stress60_rec60_warm65_over75_watch70_top75_rectemp60_rectop55_recover45_recdist0p06,180,1260,50,252,75.0,60.0,60.0,65.0,75.0,75.0,70.0,60.0,55.0,45.0,0.06,45.0,34.49732202463221,20.86320400499659,21.22658227848101,30.0,10.0,0.0,116.5871083081098,7,30.02
stress60_rec60_warm65_over75_watch70_top75_rectemp60_rectop55_recover55_recdist0p06,180,1260,50,252,75.0,60.0,60.0,65.0,75.0,75.0,70.0,60.0,55.0,55.0,0.06,45.0,34.49732202463221,20.86320400499659,21.22658227848101,30.0,10.0,0.0,116.5871083081098,7,30.02
stress60_rec60_warm65_over75_watch70_top75_rectemp60_rectop60_recover50_recdist0p06,180,1260,50,252,75.0,60.0,60.0,65.0,75.0,75.0,70.0,60.0,60.0,50.0,0.06,45.0,34.49732202463221,20.86320400499659,21.22658227848101,30.0,10.0,0.0,116.5871083081098,7,30.02
stress60_rec60_warm65_over75_watch70_top75_rectemp60_rectop50_recover45_recdist0p06,180,1260,50,252,75.0,60.0,60.0,65.0,75.0,75.0,70.0,60.0,50.0,45.0,0.06,45.0,34.49732202463221,20.86320400499659,21.22658227848101,30.0,10.0,0.0,116.5871083081098,8,35.02
stress60_rec60_warm65_over75_watch70_top75_rectemp60_rectop50_recover55_recdist0p06,180,1260,50,252,75.0,60.0,60.0,65.0,75.0,75.0,70.0,60.0,50.0,55.0,0.06,45.0,34.49732202463221,20.86320400499659,21.22658227848101,30.0,10.0,0.0,116.5871083081098,8,35.02
stress60_rec60_warm65_over75_watch70_top75_rectemp60_rectop60_recover45_recdist0p06,180,1260,50,252,75.0,60.0,60.0,65.0,75.0,75.0,70.0,60.0,60.0,45.0,0.06,45.0,34.49732202463221,20.86320400499659,21.22658227848101,30.0,10.0,0.0,116.5871083081098,8,35.02
stress60_rec60_warm65_over75_watch70_top75_rectemp60_rectop60_recover55_recdist0p06,180,1260,50,252,75.0,60.0,60.0,65.0,75.0,75.0,70.0,60.0,60.0,55.0,0.06,45.0,34.49732202463221,20.86320400499659,21.22658227848101,30.0,10.0,0.0,116.5871083081098,8,35.02
stress60_rec60_warm65_over75_watch70_top75_rectemp65_rectop55_recover50_recdist0p08,180,1260,50,252,75.0,60.0,60.0,65.0,75.0,75.0,70.0,65.0,55.0,50.0,0.08,45.0,34.49732202463221,20.86320400499659,21.212658227848102,30.0,10.0,0.0,116.5731842574769,4,20.0
