date,price,pe_ratio,pe_pctile,state,strategy_value,baseline_value
2020-01-02,8872.22,23.57,0.4957983193277311,pause,200.0,200.0
2020-01-03,8793.9,23.57,0.4957983193277311,pause,400.0,398.2344892259209
2020-01-06,8848.52,23.57,0.4957983193277311,pause,600.0,600.7079728681638
2020-01-07,8846.45,23.57,0.4957983193277311,pause,800.0,800.5674447907185
2020-01-08,8912.37,23.57,0.4957983193277311,pause,1000.0,1006.5329344459592
2020-01-09,8989.63,23.57,0.4957983193277311,pause,1200.0,1215.2584176244284
2020-01-10,8966.64,23.57,0.4957983193277311,pause,1400.0,1412.1505265297797
2020-01-13,9070.65,23.57,0.4957983193277311,pause,1600.0,1628.5309963896561
2020-01-14,9033.42,23.57,0.4957983193277311,pause,1800.0,1821.8467776186103
2020-01-15,9035.67,23.57,0.4957983193277311,pause,2000.0,2022.3005542889791
2020-01-16,9125.0,23.57,0.4957983193277311,pause,2200.0,2242.2937710083406
2020-01-17,9173.73,23.57,0.4957983193277311,pause,2400.0,2454.2682340725855
2020-01-21,9166.63,23.57,0.4957983193277311,pause,2600.0,2652.3687554023045
2020-01-22,9188.57,23.57,0.4957983193277311,pause,2800.0,2858.717104849541
2020-01-23,9216.98,23.57,0.4957983193277311,pause,3000.0,3067.55592883943
2020-01-24,9141.47,23.57,0.4957983193277311,pause,3200.0,3242.425013052842
2020-01-27,8952.18,23.57,0.4957983193277311,pause,3400.0,3375.2849764153243
2020-01-28,9090.93,23.57,0.4957983193277311,pause,3600.0,3627.598579412318
2020-01-29,9101.61,23.57,0.4957983193277311,pause,3800.0,3831.8602724215175
2020-01-30,9136.09,23.57,0.4957983193277311,pause,4000.0,4046.3766648172686
2020-01-31,8991.51,23.57,0.4957983193277311,pause,4200.0,4182.342144776499
2020-02-03,9126.23,22.18,0.41620111731843573,pause,4400.0,4445.006272797742
2020-02-04,9334.06,22.18,0.41620111731843573,pause,4600.0,4746.231603923032
2020-02-05,9367.48,22.18,0.41620111731843573,pause,4800.0,4963.225180159215
2020-02-06,9445.92,22.18,0.41620111731843573,pause,5000.0,5204.785491270815
2020-02-07,9401.1,22.18,0.41620111731843573,pause,5200.0,5380.089274733014
2020-02-10,9516.84,22.18,0.41620111731843573,pause,5400.0,5646.325303778295
2020-02-11,9517.86,22.18,0.41620111731843573,pause,5600.0,5846.930468077565
2020-02-12,9613.2,22.18,0.41620111731843573,pause,5800.0,6105.498922627906
2020-02-13,9595.7,22.18,0.41620111731843573,pause,6000.0,6294.384389366767
2020-02-14,9623.58,22.18,0.41620111731843573,pause,6200.0,6512.672522257077
2020-02-18,9629.8,22.18,0.41620111731843573,pause,6400.0,6716.881852162209
2020-02-19,9718.73,22.18,0.41620111731843573,pause,6600.0,6978.911416962391
2020-02-20,9627.83,22.18,0.41620111731843573,pause,6800.0,7113.637142669158
2020-02-21,9446.69,22.18,0.41620111731843573,pause,7000.0,7179.799691029163
2020-02-24,9079.63,22.18,0.41620111731843573,pause,7200.0,7100.821840100512
2020-02-25,8834.87,22.18,0.41620111731843573,pause,7400.0,7109.404661913407
2020-02-26,8873.76,22.18,0.41620111731843573,pause,7600.0,7340.699377885663
2020-02-27,8436.67,22.18,0.41620111731843573,pause,7800.0,7179.122516320775
2020-02-28,8461.83,22.18,0.41620111731843573,pause,8000.0,7400.532233959443
2020-03-02,8877.98,21.03,0.3286908077994429,normal_buy,8200.0,7964.487960931295
2020-03-03,8594.49,21.03,0.3286908077994429,normal_buy,8240.340933410527,7910.16741819022
2020-03-04,8949.28,21.03,0.3286908077994429,normal_buy,8780.511270424675,8436.707829348965
2020-03-05,8671.66,21.03,0.3286908077994429,normal_buy,8708.126727880996,8374.988581813535
2020-03-06,8530.34,21.03,0.3286908077994429,normal_buy,8766.212438208182,8438.503366020725
2020-03-09,7948.03,21.03,0.3286908077994429,normal_buy,8367.800983929337,8062.462446776293
2020-03-10,8372.27,21.03,0.3286908077994429,normal_buy,9014.446994251666,8692.81047873143
2020-03-11,8006.12,21.03,0.3286908077994429,normal_buy,8820.212244662218,8512.64207078621
2020-03-12,7263.65,21.03,0.3286908077994429,normal_buy,8202.245116353579,7923.198325464302
2020-03-13,7995.26,21.03,0.3286908077994429,normal_buy,9228.39237696986,8921.239410441267
2020-03-16,7020.38,21.03,0.3286908077994429,normal_buy,8303.153778042448,8033.452662236583
2020-03-17,7473.95,21.03,0.3286908077994429,normal_buy,9039.600730929144,8752.474869583
2020-03-18,7175.18,21.03,0.3286908077994429,normal_buy,8878.244084125286,8602.59603485902
2020-03-19,7288.52,21.03,0.3286908077994429,normal_buy,9218.485887744813,8938.483668979825
2020-03-20,6994.29,21.03,0.3286908077994429,normal_buy,9046.345164696628,8777.646345363515
2020-03-23,7006.92,21.03,0.3286908077994429,normal_buy,9262.680681157932,8993.496656594813
2020-03-24,7553.82,21.03,0.3286908077994429,normal_buy,10185.645987530099,9895.45176975319
2020-03-25,7469.62,21.03,0.3286908077994429,normal_buy,10272.10987041981,9985.150354176274
2020-03-26,7897.13,21.03,0.3286908077994429,normal_buy,11060.01523785526,10756.632120037712
2020-03-27,7588.37,21.03,0.3286908077994429,normal_buy,10827.593547337288,10536.072026258978
2020-03-30,7889.01,21.03,0.3286908077994429,normal_buy,11456.56679509293,11153.495622363873
2020-03-31,7813.5,21.03,0.3286908077994429,normal_buy,11546.909771119394,11246.73945721201
2020-04-01,7486.29,24.22,0.5333333333333333,pause,11263.353829965241,10975.75390428511
2020-04-02,7635.66,24.22,0.5333333333333333,pause,11684.09509988424,11394.747339041585
2020-04-03,7528.11,24.22,0.5333333333333333,pause,11725.156065407515,11434.249742721959
2020-04-06,8081.66,24.22,0.5333333333333333,pause,12743.200719378608,12475.022386198707
2020-04-07,8049.31,24.22,0.5333333333333333,pause,12895.393394735913,12625.086237660718
2020-04-08,8229.54,24.22,0.5333333333333333,pause,13361.740044514994,13107.77124949572
2020-04-09,8238.53,24.22,0.5333333333333333,pause,13575.025603975206,13322.090259249966
2020-04-13,8332.74,24.22,0.5333333333333333,pause,13914.250582478711,13674.432257558394
2020-04-14,8692.16,24.22,0.5333333333333333,pause,14645.406954134914,14464.25798619167
2020-04-15,8591.96,24.22,0.5333333333333333,pause,14697.329862042232,14497.51937919221
2020-04-16,8757.83,24.22,0.5333333333333333,pause,15142.455084251944,14977.397723531178
2020-04-17,8832.41,24.22,0.5333333333333333,pause,15452.670548605956,15304.942368976563
2020-04-20,8726.51,24.22,0.5333333333333333,pause,15496.169909358303,15321.437142557656
2020-04-21,8403.0,24.22,0.5333333333333333,pause,15218.08188477843,14953.439382858895
2020-04-22,8664.63,24.22,0.5333333333333333,pause,15804.722699191685,15619.019335939623
2020-04-23,8641.5,24.22,0.5333333333333333,pause,15970.54083152598,15777.324778036947
2020-04-24,8786.6,24.22,0.5333333333333333,pause,16384.971830155202,16242.242885459636
2020-04-27,8837.66,24.22,0.5333333333333333,pause,16660.429078880275,16536.62853198179
2020-04-28,8677.6,24.22,0.5333333333333333,pause,16623.889963507478,16437.13152000928
2020-04-29,8982.76,24.22,0.5333333333333333,pause,17274.860077509496,17215.166351603963
2020-04-30,9000.51,24.22,0.5333333333333333,pause,17501.09129891314,17449.18364726153
2020-05-01,8718.18,25.71,0.6094182825484764,pause,17283.859707989723,17101.833772739825
2020-05-04,8834.11,25.71,0.6094182825484764,pause,17655.182834599545,17529.245410177195
2020-05-05,8930.62,25.71,0.6094182825484764,pause,17997.80678827085,17920.747154499622
2020-05-06,8984.86,25.71,0.6094182825484764,pause,18277.963489619222,18229.588570399086
2020-05-07,9101.88,25.71,0.6094182825484764,pause,18650.897434895523,18667.01313288621
2020-05-08,9220.35,25.71,0.6094182825484764,pause,19025.97421234283,19109.982832097037
2020-05-11,9298.92,25.71,0.6094182825484764,pause,19342.086159705323,19472.826037736504
2020-05-12,9112.45,25.71,0.6094182825484764,pause,19266.517942514485,19282.340059659833
2020-05-13,9000.08,25.71,0.6094182825484764,pause,19300.45583833829,19244.560258124133
2020-05-14,9094.43,25.71,0.6094182825484764,pause,19639.887710982446,19646.305604871497
2020-05-15,9152.64,25.71,0.6094182825484764,pause,19925.911339033493,19972.054161873923
2020-05-18,9331.93,25.71,0.6094182825484764,pause,20390.868842439653,20563.28440699253
2020-05-19,9298.54,25.71,0.6094182825484764,pause,20541.524589894994,20689.708194317398
2020-05-20,9485.02,25.71,0.6094182825484764,pause,21017.107585238737,21304.635353212914
2020-05-21,9377.99,25.71,0.6094182825484764,pause,21058.937014712992,21264.23152466491
2020-05-22,9413.99,25.71,0.6094182825484764,pause,21312.138365165454,21545.860139633354
2020-05-26,9389.98,25.71,0.6094182825484764,pause,21476.65602004424,21690.908296477308
2020-05-27,9442.05,25.71,0.6094182825484764,pause,21753.605862212564,22011.190298675134
2020-05-28,9416.71,25.71,0.6094182825484764,pause,21916.158022755193,22152.118003763706
2020-05-29,9555.52,25.71,0.6094182825484764,pause,22321.29356320814,22678.658324120017
2020-06-01,9598.89,27.85,0.6767955801104972,pause,22585.38641235045,22981.590808329882
2020-06-02,9657.31,27.85,0.6767955801104972,pause,22871.720381612467,23321.45953638309
2020-06-03,9704.69,27.85,0.6767955801104972,pause,23141.73927006907,23635.877604440742
2020-06-04,9629.66,27.85,0.6767955801104972,pause,23230.858788834397,23653.14122680671
2020-06-05,9824.39,27.85,0.6767955801104972,pause,23718.6337603235,24331.452630438413
2020-06-08,9901.52,27.85,0.6767955801104972,pause,24032.617653667898,24722.4756803566
2020-06-09,9967.17,27.85,0.6767955801104972,pause,24329.636227479117,25086.392990872097
2020-06-10,10094.26,27.85,0.6767955801104972,pause,24717.451772729204,25606.266102819616
2020-06-11,9588.48,27.85,0.6767955801104972,pause,24170.002355177945,24523.246122208442
2020-06-12,9663.77,27.85,0.6767955801104972,pause,24481.267068388108,24915.805860617565
2020-06-15,9776.89,27.85,0.6767955801104972,pause,24848.43753403206,25407.459734721877
2020-06-16,9949.37,27.85,0.6767955801104972,pause,25303.33111531096,26055.688021533413
2020-06-17,9982.48,27.85,0.6767955801104972,pause,25552.26157957432,26342.397414227922
2020-06-18,10012.05,27.85,0.6767955801104972,pause,25795.96057770985,26620.42859400877
2020-06-19,10008.64,27.85,0.6767955801104972,pause,25990.921227569772,26811.361953160434
2020-06-22,10130.33,27.85,0.6767955801104972,pause,26370.756570251993,27337.347765026992
2020-06-23,10209.82,27.85,0.6767955801104972,pause,26688.228107681603,27751.85664813761
2020-06-24,10002.7,27.85,0.6767955801104972,pause,26582.143004745118,27388.872721980028
2020-06-25,10101.83,27.85,0.6767955801104972,pause,26928.638834477126,27860.30533046872
2020-06-26,9849.36,27.85,0.6767955801104972,pause,26755.53480812344,27364.00661164417
2020-06-29,9961.16,27.85,0.6767955801104972,pause,27120.754557584136,27874.61521354133
2020-06-30,10156.85,27.85,0.6767955801104972,pause,27609.948231751972,28622.220457422354
2020-07-01,10279.25,29.9,0.7024793388429752,pause,27990.832823290337,29167.146274382187
2020-07-02,10341.89,29.9,0.7024793388429752,pause,28283.403173077615,29544.885899610414
2020-07-06,10604.06,29.9,0.7024793388429752,pause,28870.842007747655,30493.857580444463
2020-07-07,10524.01,29.9,0.7024793388429752,pause,28952.542893755453,30463.659590305353
2020-07-08,10666.7,29.9,0.7024793388429752,pause,29363.412357534937,31076.701727944965
2020-07-09,10754.59,29.9,0.7024793388429752,pause,29693.29754340346,31532.76323852172
2020-07-10,10836.33,29.9,0.7024793388429752,pause,30014.09416523635,31972.427239391745
2020-07-13,10602.21,29.9,0.7024793388429752,pause,29868.108049460516,31481.659731823554
2020-07-14,10689.52,29.9,0.7024793388429752,pause,30197.136102460638,31940.913577124258
2020-07-15,10701.68,29.9,0.7024793388429752,pause,30415.106336391247,32177.248371305643
2020-07-16,10626.46,29.9,0.7024793388429752,pause,30503.945070251408,32151.080832892083
2020-07-17,10645.22,29.9,0.7024793388429752,pause,30731.668885098305,32407.840494757376
2020-07-20,10952.08,29.9,0.7024793388429752,pause,31385.15128509391,33542.03160909989
2020-07-21,10833.07,29.9,0.7024793388429752,pause,31409.27648738982,33377.54950325342
2020-07-22,10870.75,29.9,0.7024793388429752,pause,31664.960567530063,33693.644577436695
2020-07-23,10580.59,29.9,0.7024793388429752,pause,31436.157682883233,32994.300198199846
2020-07-24,10483.13,29.9,0.7024793388429752,pause,31492.1298046861,32890.38288382356
2020-07-27,10674.38,29.9,0.7024793388429752,pause,31974.761978964794,33690.421777410804
2020-07-28,10532.5,29.9,0.7024793388429752,pause,31965.08954557049,33442.620870774634
2020-07-29,10662.98,29.9,0.7024793388429752,pause,32357.91488465485,34056.91882199406
